"msgid","msgstr"
Abbreviation already used for {0},الاختصار مستخدم بالفعل لـ {0}
Abbreviation is mandatory,الاختصار إلزامي
You cannot add '{0}' because it already contains {1} levels of nested components. The maximum allowed depth is {2}.,لا يمكنك إضافة '{0}' لأنه يحتوي بالفعل على {1} مستويات من المكونات المتداخلة. الحد الأقصى المسموح به هو {2}.
Circular reference detected: '{0}' is already a component (directly or indirectly) of '{1}',تم اكتشاف مرجع دائري: '{0}' هو بالفعل مكوّن (مباشرة أو غير مباشرة) لـ '{1}'
Observation Template '{0}' cannot be added as a component of itself.,لا يمكن إضافة قالب الملاحظة '{0}' كمكوّن لنفسه.
You cannot provide more than 2 options for Boolean result,لا يمكنك توفير أكثر من خيارين لنتيجة منطقية
"""SMS not sent, please check SMS Settings""",لم يتم إرسال SMS، يرجى التحقق من إعدادات SMS
Appointment Confirmation Message Not Sent,لم يتم إرسال رسالة تأكيد الموعد
Practitioner {0} does not have a Practitioner Schedule assigned.,الممارس {0} ليس لديه جدول ممارس معيّن.
Service Unit Not Found,وحدة الخدمة غير موجودة
Practitioner {0} does not have a Service Unit set against the Practitioner Schedule {1}.,الممارس {0} لا يملك وحدة خدمة محددة مقابل جدول الممارس {1}.
"""{0} is a holiday"""".format(date)), title=_(""""Not Available""","""{0} عطلة"""".format(date)), title=_(""""غير متاح"""
Not Available,غير متاح
Healthcare Practitioner not available on {0},ممارس الرعاية الصحية غير متاح في {0}
Practitioner Schedule Not Found,جدول الممارس غير موجود
{0} does not have a Healthcare Practitioner Schedule / Availability. Add it in Healthcare Practitioner master / Practitioner Availability,{0} ليس لديه جدول/توفّر لممارس الرعاية الصحية. أضفه في سجل ممارس الرعاية الصحية / توفر الممارس
Fee Validity {0} updated.,تم تحديث صلاحية الرسوم {0}.
Appointment Cancelled.,تم إلغاء الموعد.
Appointment Cancelled. Please review and cancel the invoice {0},تم إلغاء الموعد. يرجى مراجعة وإلغاء الفاتورة {0}
Appointment {0} and Sales Invoice {1} cancelled,تم إلغاء الموعد {0} وفاتورة المبيعات {1}
Consulting Charges: {0},رسوم الاستشارة: {0}
Sales Invoice {0} created,تم إنشاء فاتورة المبيعات {0}
"""Could not add conferencing to this Appointment, please contact System Manager""",تعذّر إضافة مؤتمرات الفيديو لهذا الموعد، يرجى التواصل مع مدير النظام
Please set a Customer linked to the Patient,يرجى تعيين عميل مرتبط بالمريض
Appointment end must be after start.,يجب أن يكون انتهاء الموعد بعد بدايته.
Appointment Date and Time are required.,تاريخ ووقت الموعد مطلوبان.
Invalid Healthcare Service Unit,وحدة خدمة رعاية صحية غير صالحة
Appointment for service units with Inpatient Occupancy can only be created against the unit where patient is admitted.,لا لا يمكن إنشاء موعد لوحدات الخدمة ذات إشغال  الإقامة إلا في الوحدة التي تم إقامة المريض فيها.
Patient {0} is not admitted in the service unit {1},المريض {0} ليس في وحدة الخدمة {1}
Patient already has an appointment {} booked for {} on {},المريض لديه بالفعل موعد {} محجوز لـ {} بتاريخ {}
Please enter {},يرجى إدخال {}
"""Not allowed, cannot overlap appointment {}""",غير مسموح، لا يمكن تداخل الموعد {}
"""Not allowed, {} cannot exceed maximum capacity {}""",غير مسموح، لا يمكن أن يتجاوز {} السعة القصوى {}
Patient already has an appointment booked for the same day!,المريض لديه بالفعل موعد محجوز لليوم نفسه!
Insurance Coverage not created!Not supported as Automate Appointment Invoicing enabled,لم يتم إنشاء تغطية التأمين!<br>غير مدعوم لأن <b>فوترة الموعد التلقائية</b> مفعّلة
Maximum appointments cannot be more than {0} in row #{1},الحد الأقصى للمواعيد لا يمكن أن يكون أكثر من {0} في الصف #{1}
Therapy Plan Required,خطة العلاج مطلوبة
Therapy Plan is required to create Therapy Session,خطة العلاج مطلوبة لإنشاء جلسة علاجية
Lab Test Item {0} already exist,صنف الاختبار المخبري {0} موجود بالفعل
Row #{0}: Conversion Factor is mandatory,الصف #{0}: عامل التحويل إلزامي
Conversion Factor is mandatory,عامل التحويل إلزامي
Not permitted. Please disable the Lab Test Template,غير مسموح. يرجى تعطيل قالب الاختبار المخبري
Invalid Quantity,كمية غير صالحة
Sample Quantity cannot be negative or 0,كمية العينة لا يمكن أن تكون سالبة أو 0
Standard Selling Rate should be greater than zero.,يجب أن يكون سعر البيع القياسي أكبر من صفر.
Customer Not Found,العميل غير موجود
Please set Customer in Patient {0},يرجى تعيين العميل في المريض {0}
Clinical Procedure ({0}):,إجراء سريري ({0}):
Already Exist,موجود بالفعل
Clinical Procedure {0} already created from service request {1},تم إنشاء الإجراء السريري {0} بالفعل من طلب الخدمة {1}
An Inpatient Medication Order {0} against Patient Encounter {1} already exists.,يوجد بالفعل أمر دواء لمنوّم {0} لزيارة المريض {1}.
No Inpatient Record found against patient {0},لم يتم العثور على سجل منوّم  للمريض {0}
Invalid Number of Service Units,عدد وحدات الخدمة غير صالح
Number of Service Units to be created should at least be 1,يجب أن يكون عدد وحدات الخدمة المراد إنشاؤها 1 على الأقل
Missing Required Fields,حقول مطلوبة مفقودة
Service Unit Name and Company are mandatory to create Healthcare Service Units,اسم وحدة الخدمة والشركة إلزاميان لإنشاء وحدات خدمة الرعاية الصحية
Please set a valid Service Unit Capacity to enable Overlapping Appointments,يرجى تعيين سعة صالحة لوحدة الخدمة لتمكين تداخل المواعيد
Not Allowed,غير مسموح
"""Cannot Submit, not all samples are marked as 'Collected'.""",لا يمكن التقديم، ليست كل العينات مميّزة كـ 'تم الجمع'.
An active contract for this Insurance Payor already exists: {0},يوجد بالفعل عقد نشط لهذه الجهة الدافعة للتأمين: {0}
Start Date should be before End Date,يجب أن يكون تاريخ البدء قبل تاريخ الانتهاء
Insufficient Stock,مخزون غير كافٍ
Shortage Qty,نقص الكمية
Please enable Allow Negative Stock in Stock Settings or create Stock Entry to proceed.,يرجى تفعيل السماح بالمخزون السالب في إعدادات المخزون أو إنشاء قيد مخزون للمتابعة.
Quantity not available for the following items in warehouse {0}.,الكمية غير متاحة للأصناف التالية في المخزن {0}.
Row {0}: This Medication Order is already marked as completed,الصف {0}: تم بالفعل وضع علامة مكتمل على أمر الدواء هذا
Row {0}: Cannot create Inpatient Medication Entry against cancelled Inpatient Medication Order {1},الصف {0}: لا يمكن إنشاء إدخال دواء للمنوّمين مقابل أمردواء ملغي للمنوّمين  {1}
Success,نجاح
Inpatient Medication Orders updated successfully,تم تحديث أوامر أدوية للمنوّمين بنجاح
Stock Entry {0} created and,تم إنشاء قيد المخزون {0} و
No pending medication orders found for selected criteria,لم يتم العثور على أوامر أدوية معلّقة للمعايير المحددة
Therapy Plan {0} created successfully.,تم إنشاء خطة العلاج {0} بنجاح.
Row #{0} (Lab Tests): Observation Template or Lab Test Template is mandatory,الصف #{0} (اختبارات مخبرية): قالب الملاحظة أو قالب الاختبار المخبري إلزامي
Row #{0} (Drug Prescription): Drug Code is mandatory,الصف #{0} (وصفة الدواء): رمز الدواء إلزامي
Unavailable block for a practitioner must overlap at least partially with an existing Availability,يجب أن يتداخل حظر عدم التوفر للممارس جزئيًا على الأقل مع توفر موجود
End time must be after start time.,يجب أن يكون وقت الانتهاء بعد وقت البدء.
Practitioner Availability End time must be after Start time.,يجب أن يكون وقت انتهاء توفر الممارس بعد وقت البدء.
Practitioner Availability Start and End times are required.,مطلوب تحديد وقت بدء وانتهاء توفر الممارس.
Orders Created from Treatment Counselling,أوامر تم إنشاؤها من استشارة العلاج
Incomplete Services,خدمات غير مكتملة
There are Orders yet to be carried out {0},لا تزال هناك أوامر لم تُنفّذ بعد<b> {0}
Service Unit Occupied,وحدة الخدمة مشغولة
The selected Service Unit {0} is already occupied. Please choose a vacant Service Unit.,وحدة الخدمة المحددة <strong>{0}</strong> مشغولة بالفعل. يرجى اختيار وحدة خدمة شاغرة.
Unbilled Services,خدمات غير مفوترة
Documents,المستندات
Cannot mark Inpatient Record as Discharged since there are unbilled services.,لا يمكن وضع سجل المنوّم كخارج بسبب وجود خدمات غير مفوترة.
"""Missing required details, did not create Inpatient Record""",تفاصيل مطلوبة مفقودة، لم يتم إنشاء سجل المنوّمين
Claim already created for all Inpatient Occupancies,تم إنشاء مطالبة بالفعل لكل إشغالات المنوّمين
Selling Price List not found. Please configure a valid Price List in the document.,لم يتم العثور على قائمة أسعار البيع. يرجى إعداد قائمة أسعار صالحة في المستند.
Row #{0}: Check Out datetime cannot be less than Check In datetime,الصف #{0}: لا يمكن أن يكون تاريخ ووقت الخروج أقل من تاريخ ووقت الدخول
Expected and Discharge dates cannot be less than Admission Schedule date,لا يمكن أن تكون التواريخ المتوقعة والخروج أقل من تاريخ جدولة الدخول
Not permitted. Please disable the Service Unit Type,غير مسموح. يرجى تعطيل نوع وحدة الخدمة
Healthcare Service Unit Type must allow atleast one among {0} and {1},يجب أن يسمح نوع وحدة خدمة الرعاية الصحية بواحد على الأقل من {0} و{1}
Validation Error,خطأ تحقق
Healthcare Service Unit Type cannot have both {0} and {1},لا يمكن أن يحتوي نوع وحدة خدمة الرعاية الصحية على كلا {0} و{1}
This is based on transactions against this Patient. See timeline below for details,هذا يعتمد على المعاملات الخاصة بهذا المريض. راجع الخط الزمني أدناه للتفاصيل
Patient not found,لم يتم العثور على المريض
Customer {0} created and linked to Patient,تم إنشاء العميل {0} وربطه بالمريض
Customer {0} updated,تم تحديث العميل {0}
Day(s),يوم/أيام
Month(s),شهر/أشهر
Year(s),سنة/سنوات
Please check email / mobile or disable 'Invite as User' to skip creating User,<br>يرجى التحقق من البريد الإلكتروني / الجوال أو تعطيل 'دعوة كمستخدم' لتجاوز إنشاء المستخدم
""", Mobile {}""",", الجوال {}"
User exists with Email {},يوجد مستخدم بالبريد الإلكتروني {}
"""Please set defaults for Customer Group, Territory and Selling Price List in Selling Settings""",يرجى تعيين القيم الافتراضية لمجموعة العملاء والإقليم وقائمة أسعار البيع في إعدادات البيع
Item Eligibility overlaps with {eligibility},تتداخل أهلية الصنف مع {eligibility}
Valid From date cannot be after Valid Till date,لا يمكن أن يكون تاريخ <b>صالح من</b> بعد تاريخ <b>صالح حتى</b>
Invalid Coverage / Discount percentage,نسبة تغطية / خصم غير صالحة
Please select a Medication,يرجى اختيار دواء
"""Cannot link existing Item Code {}, UOM {} does not match with Item Stock UOM""",لا يمكن ربط رمز الصنف الموجود {}، وحدة القياس {} لا تطابق وحدة قياس مخزون الصنف
Item {} has been already used in Medication,تم استخدام الصنف <b>{}</b> بالفعل في <b><a href='/app/medication/{}'>دواء</a></b>
Error in formula,خطأ في المعادلة
"Hint: {4}""""""""""","<br><br> <b>تلميح:</b> {4}"""""""""""
"""""""""""Error while evaluating the {0} {1} at row {2}.  Error: {3}","""""""""""خطأ أثناء تقييم {0} {1} في الصف {2}. <br><br> <b>خطأ:</b> {3}"
This error can be due to invalid formula.,قد يكون هذا الخطأ بسبب معادلة غير صالحة.
Please enter result for all components to Approve.,يرجى إدخال النتيجة لجميع المكونات للاعتماد.
Please enter result to Approve.,يرجى إدخال النتيجة للاعتماد.
Non numeric result {0} is not allowed for Permitted Type {1},النتيجة غير الرقمية {0} غير مسموحة لنوع المسموح {1}
Non numeric result {0} is not allowed for Permitted Data Type {1},النتيجة غير الرقمية {0} غير مسموحة لنوع البيانات المسموح {1}
Nursing Task cannot be 'Draft' after submission,لا يمكن أن تكون مهمة التمريض 'مسودة' بعد التقديم
Not Allowed to 'Complete' Nursing Task without linking Task Document,غير مسموح 'إكمال' مهمة تمريض دون ربط مستند المهمة
Not Allowed to cancel Nursing Task with status 'Completed',غير مسموح بإلغاء مهمة تمريض بحالة 'مكتمل'
Patient {0} already has an Insurance Policy {1} with the same Policy Number {2},المريض {0} لديه بالفعل وثيقة تأمين {1} بنفس رقم الوثيقة {2}
Duplicate,مكرر
Patient {0} already has an active insurance policy {1} with the coverage plan {2} for this period,المريض {0} لديه بالفعل وثيقة تأمين نشطة {1} مع خطة التغطية {2} لهذه الفترة
Expiry Date for the Insurance Policy cannot be a past date,لا يمكن أن يكون تاريخ انتهاء وثيقة التأمين تاريخًا سابقًا
Maximum Quantity Exceeded,تم تجاوز الحد الأقصى للكمية
Maximum billable quantity exceeded by {0},تم تجاوز الحد الأقصى للكمية القابلة للفوترة بمقدار {0}
Payment Required,الدفع مطلوب
Service Request need to be invoiced before proceeding,يجب فوترة طلب الخدمة قبل المتابعة
Missing Mandatory Fields,حقول إلزامية مفقودة
Order Template Type and Order Template are mandatory to create Service Request,نوع قالب الأمر وقالب الأمر إلزاميان لإنشاء طلب خدمة
Please submit a Discharge Summary to proceed with discharging the patient.,يرجى تقديم ملخص الخروج للمتابعة بخروج المريض.
Item with Item Code {0} already exists,الصنف برمز {0} موجود بالفعل
Item {0} is not active,الصنف {0} غير نشط
Row #{0}: Field {1} in Document Type {2} is not a Date / Datetime field.,الصف #{0}: الحقل {1} في نوع المستند {2} ليس حقل تاريخ/تاريخ ووقت.
Row #{0}: No such Field named {1} found in the Document Type {2}.,الصف #{0}: لم يتم العثور على حقل باسم {1} في نوع المستند {2}.
Patient Medical Record can only be created for submittable document types.,يمكن إنشاء السجل الطبي للمريض فقط لأنواع المستندات القابلة للتقديم.
Row #{0}: Document Type {1} is not submittable.,الصف #{0}: نوع المستند {1} غير قابل للتقديم.
To Discharge,للخروج
To Admit,للتنويم
discharged,تم الخروج
admitted,تمت إقامته
type,النوع
Paid,مدفوع
Outstanding,مستحق
rejected,مرفوض
paid,مدفوع
outstanding,مستحق
approved,معتمد
payor,الجهة الدافعة
You need to be logged in to access this page,تحتاج إلى تسجيل الدخول للوصول إلى هذه الصفحة
Average Score,متوسط الدرجة
Sessions,الجلسات
Score Obtained,الدرجة المحصّلة
Targetted,المستهدف
Lab Technician,فني مختبر
Total,الإجمالي
Please complete linked Nursing Tasks before submission: {},يرجى إكمال مهام التمريض المرتبطة قبل التقديم: {}
The item referenced by {0} - {1} is already invoiced,الصنف المشار إليه بواسطة {0} - {1} مفوتر بالفعل
Receivable Account not configured for Insurance Payor,حساب المدينين غير مُهيأ لجهة الدفع التأمينية
OP Consulting Charge,رسوم استشارة العيادات الخارجية
Missing Configuration,تهيئة مفقودة
Please Configure Clinical Procedure Consumable Item in {0},يرجى تهيئة صنف مستهلك الإجراء السريري في {0}
Patient {0} is not linked to a Customer {1},المريض <b>{0}</b> غير مرتبط بعميل <b><a href='/app/Form/Patient/{1}'>{1}</a></b>
Customer {0} has been linked to Patient,تم ربط العميل {0} بالمريض
"""The request is not yet 'actionable', e.g. it is a work in progress, requires sign-off, verification or needs to be run through decision support process.""",الطلب ليس 'قابلًا للتنفيذ' بعد، مثل أنه قيد العمل، ويتطلب توقيعًا أو تحققًا أو يحتاج للمرور عبر عملية دعم القرار.
"""The request was recorded against the wrong patient or for some reason should not have been recorded (e.g. wrong medication, wrong dose, etc.). Some of the actions that are implied by the medication request may have occurred. For example, the medication may have been dispensed and the patient may have taken some of the medication.""",تم تسجيل الطلب على المريض الخطأ أو لسبب ما لا ينبغي تسجيله (مثل دواء خاطئ، جرعة خاطئة، إلخ). قد تكون بعض الإجراءات المضمنة في طلب الدواء قد حدثت. على سبيل المثال، قد يكون تم صرف الدواء وقد يكون المريض تناول بعض الدواء.
The request has been withdrawn before any administrations have occurred,تم سحب الطلب قبل حدوث أي إعطاء.
All actions that are implied by the request have occurred.,جميع الإجراءات المضمنة في الطلب قد حدثت.
"""Actions implied by the request are to be permanently halted, before all of the administrations occurred. This should not be used if the original order was entered in error""",يجب إيقاف الإجراءات المضمنة في الطلب بشكل دائم قبل حدوث جميع الجرعات. لا ينبغي استخدام هذا إذا كان الأمر الأصلي قد أُدخل بالخطأ
Stopped,موقوف
The request is no longer active and the subject should no longer be taking the medication.,الطلب لم يعد نشطًا ولا ينبغي للموضوع الاستمرار في تناول الدواء.
Ended,انتهى
Actions implied by the request are to be temporarily halted. The request might or might not be resumed. May also be called 'suspended'.,يجب إيقاف الإجراءات المضمنة في الطلب مؤقتًا. قد يُستأنف الطلب أو لا يُستأنف. وقد يُسمّى أيضًا 'معلّق'.
"""The request is 'actionable', but not all actions that are implied by it have occurred yet.""",الطلب 'قابل للتنفيذ'، لكن لم تحدث بعد جميع الإجراءات المضمنة فيه.
"""The authoring/source system does not know which of the status values currently applies for this request. Note: This concept is not to be used for 'other' - one of the listed statuses is presumed to apply, but the authoring/source system does not know which.""",لا يعرف نظام التأليف/المصدر أيّ قيم الحالة تنطبق حاليًا على هذا الطلب. ملاحظة: لا يجب استخدام هذا المفهوم لـ 'أخرى' - يُفترض أن إحدى الحالات المدرجة تنطبق، لكن نظام التأليف/المصدر لا يعرف أيّها.
"""This request should never have existed and should be considered 'void'. (It is possible that real-world decisions were based on it. If real-world activity has occurred, the status should be 'revoked' rather than 'entered-in-error'.).""",لم يكن ينبغي أن يوجد هذا الطلب ويجب اعتباره 'باطل'. (قد تكون القرارات الواقعية قد استندت إليه. إذا حدث نشاط في العالم الحقيقي، فيجب أن تكون الحالة 'ملغي' بدلاً من 'أُدخل بالخطأ'.).
The activity described by the request has been fully performed. No further activity will occur.,تم تنفيذ النشاط الموصوف بالطلب بالكامل. لن يحدث أي نشاط إضافي.
The request (and any implicit authorization to act) has been terminated prior to the known full completion of the intended actions. No further activity should occur.,تم إنهاء الطلب (وأي تفويض ضمني بالإجراء) قبل إتمام الإجراءات المقصودة بالكامل. لا ينبغي حدوث أي نشاط إضافي.
The request (and any implicit authorization to act) has been temporarily withdrawn but is expected to resume in the future.,تم سحب الطلب (وأي تفويض ضمني بالإجراء) مؤقتًا ومن المتوقع استئنافه لاحقًا.
The request is in force and ready to be acted upon.,الطلب ساري وجاهز للتنفيذ.
The request has been created but is not yet complete or ready for action.,تم إنشاء الطلب لكنه ليس مكتملًا بعد أو جاهزًا للإجراء.
Medication Request Status Codes.,رموز حالة طلب الدواء.
Medication Request Status,حالة طلب الدواء
Request Status Codes.,رموز حالة الطلب.
Request Status,حالة الطلب
"""The authoring/source system does not know which of the status values currently applies for this observation. Note: This concept is not to be used for 'other' - one of the listed statuses is presumed to apply, but the authoring/source system does not know which.""",لا يعرف نظام التأليف/المصدر أيّ قيم الحالة تنطبق حاليًا على هذه الملاحظة. ملاحظة: لا يجب استخدام هذا المفهوم لـ 'أخرى' - يُفترض أن إحدى الحالات المدرجة تنطبق، لكن نظام التأليف/المصدر لا يعرف أيّها.
"""The observation has been withdrawn following previous final release. This electronic record should never have existed, though it is possible that real-world decisions were based on it. (If real-world activity has occurred, the status should be 'cancelled' rather than 'entered-in-error'.).""",تم سحب الملاحظة بعد إصدار نهائي سابق. لم يكن ينبغي أن يوجد هذا السجل الإلكتروني أبدًا، رغم احتمال أن قرارات في العالم الحقيقي استندت إليه. (إذا حدث نشاط في العالم الحقيقي، فيجب أن تكون الحالة 'ملغي' بدلاً من 'أُدخل بالخطأ'.).
The observation is unavailable because the measurement was not started or not completed (also sometimes called 'aborted,الملاحظة غير متاحة لأن القياس لم يبدأ أو لم يكتمل (ويُسمّى أحيانًا 'ملغى
"""Subsequent to being Final, the observation has been modified to correct an error in the test result.""",بعد أن أصبحت نهائية، تم تعديل الملاحظة لتصحيح خطأ في نتيجة الاختبار.
"""Subsequent to being Final, the observation has been modified subsequent. This includes updates/new information and corrections.""",بعد أن أصبحت نهائية، تم تعديل الملاحظة لاحقًا. يشمل ذلك التحديثات/المعلومات الجديدة والتصحيحات.
The observation is complete and there are no further actions needed.),الملاحظة مكتملة ولا توجد إجراءات أخرى مطلوبة.)
This is an initial or interim observation: data may be incomplete or unverified.,هذه ملاحظة أولية أو مؤقتة: قد تكون البيانات غير مكتملة أو غير مُتحقّق منها.
"""Observations that measure or record any bodily activity that enhances or maintains physical fitness and overall health and wellness. Not under direct supervision of practitioner such as a physical therapist. (e.g., laps swum, steps, sleep data.)""",ملاحظات تقيس أو تسجّل أي نشاط بدني يعزز اللياقة البدنية والصحة العامة والرفاه. ليست تحت إشراف مباشر من الممارس مثل المعالج الفيزيائي. (مثل عدد اللفات المسبوحة، الخطوات، بيانات النوم.)
Observation Status,حالة الملاحظة
"""Observations that measure or record any bodily activity that enhances or maintains physical fitness and overall health and wellness. Not under direct supervision of practitioner such as a physical therapist. (e.g., laps swum, steps, sleep data)""",ملاحظات تقيس أو تسجّل أي نشاط بدني يعزز اللياقة البدنية والصحة العامة والرفاه. ليست تحت إشراف مباشر من الممارس مثل المعالج الفيزيائي. (مثل عدد اللفات المسبوحة، الخطوات، بيانات النوم)
"""Observations generated by non-interventional treatment protocols (e.g. occupational, physical, radiation, nutritional and medication therapy)""",ملاحظات ناتجة عن بروتوكولات علاج غير تداخلية (مثل العلاج الوظيفي والبدني والإشعاعي والتغذوي والدوائي)
Observations generated by physical exam findings including direct observations made by a clinician and use of simple instruments and the result of simple maneuvers performed directly on the patient's body.,ملاحظات ناتجة عن نتائج الفحص البدني بما في ذلك الملاحظات المباشرة التي يجريها الطبيب واستخدام أدوات بسيطة ونتائج المناورات البسيطة التي تُجرى مباشرة على جسم المريض.
"""Assessment tool/survey instrument observations (e.g., Apgar Scores, Montreal Cognitive Assessment (MoCA)).""",ملاحظات أدوات التقييم/الاستبيان (مثل درجات أبغار، وتقييم مونتريال الإدراكي (MoCA)).
"""Observations generated by other procedures. This category includes observations resulting from interventional and non-interventional procedures excluding laboratory and imaging (e.g., cardiology catheterization, endoscopy, electrodiagnostics, etc.). Procedure results are typically generated by a clinician to provide more granular information about component observations made during a procedure. An example would be when a gastroenterologist reports the size of a polyp observed during a colonoscopy.""",ملاحظات ناتجة عن إجراءات أخرى. تشمل هذه الفئة الملاحظات الناتجة عن الإجراءات التداخلية وغير التداخلية باستثناء المختبر والتصوير (مثل قسطرة القلب والتنظير والفحوصات الكهربائية التشخيصية، إلخ). عادةً ما تُنتج نتائج الإجراءات بواسطة طبيب سريري لتوفير معلومات أكثر تفصيلاً عن الملاحظات المكوّنة أثناء الإجراء. مثال: عندما يذكر أخصائي الجهاز الهضمي حجم سليلة لوحظت أثناء تنظير القولون.
"""The results of observations generated by laboratories. Laboratory results are typically generated by laboratories providing analytic services in areas such as chemistry, hematology, serology, histology, cytology, anatomic pathology (including digital pathology), microbiology, and/or virology. These observations are based on analysis of specimens obtained from the patient and submitted to the laboratory.""",نتائج الملاحظات الناتجة عن المختبرات. عادةً ما تُنتج نتائج المختبرات في مختبرات تقدم خدمات تحليلية في مجالات مثل الكيمياء والدمويات والأمصال وعلم الأنسجة وعلم الخلايا وعلم الأمراض التشريحية (بما في ذلك علم الأمراض الرقمي) وعلم الأحياء الدقيقة و/أو علم الفيروسات. تستند هذه الملاحظات إلى تحليل عينات مأخوذة من المريض ومقدمة إلى المختبر.
"""Observations generated by imaging. The scope includes observations regarding plain x-ray, ultrasound, CT, MRI, angiography, echocardiography, and nuclear medicine.""",ملاحظات ناتجة عن التصوير. يشمل النطاق ملاحظات حول الأشعة السينية العادية، والموجات فوق الصوتية، والتصوير المقطعي، والرنين المغناطيسي، وتصوير الأوعية، وتخطيط صدى القلب، والطب النووي.
"""Clinical observations measure the body's basic functions such as blood pressure, heart rate, respiratory rate, height, weight, body mass index, head circumference, pulse oximetry, temperature, and body surface area.""",الملاحظات السريرية تقيس الوظائف الأساسية للجسم مثل ضغط الدم ومعدل ضربات القلب ومعدل التنفس والطول والوزن ومؤشر كتلة الجسم ومحيط الرأس وقياس التأكسج النبضي ودرجة الحرارة ومساحة سطح الجسم.
"""Social History Observations define the patient's occupational, personal (e.g., lifestyle), social, familial, and environmental history and health risk factors that may impact the patient's health.""",ملاحظات التاريخ الاجتماعي تُعرّف التاريخ المهني والشخصي (مثل نمط الحياة) والاجتماعي والعائلي والبيئي للمريض وعوامل الخطر الصحية التي قد تؤثر على صحة المريض.
Codes providing the status of an observation.,رموز توضح حالة الملاحظة.
ObservationStatus,حالة الملاحظة
Observation Category codes.,رموز فئة الملاحظة.
ObservationCategory,فئة الملاحظة
The lifecycle status of an artifact.,حالة دورة حياة المكوّن.
PublicationStatus,حالة النشر
All published FHIR Versions.,جميع إصدارات FHIR المنشورة.
ICD-10-CM (United States),ICD-10-CM (الولايات المتحدة)
ICD-9-CM (procedure codes),ICD-9-CM (رموز الإجراءات)
Using ICD-[x] with HL7 Standards. https://terminology.hl7.org/ICD.html,استخدام ICD-[x] مع معايير HL7. https://terminology.hl7.org/ICD.html
ICD-9-CM (clinical codes),ICD-9-CM (رموز سريرية)
Using UCUM with HL7 Standards. https://terminology.hl7.org/UCUM.html,استخدام UCUM مع معايير HL7. https://terminology.hl7.org/UCUM.html
pCLUCUMOCD,pCLUCUMOCD
Using LOINC with HL7 Standards. https://terminology.hl7.org/LOINC.html,استخدام LOINC مع معايير HL7. https://terminology.hl7.org/LOINC.html
LOINC,LOINC
Using RxNorm with HL7 Standards. https://terminology.hl7.org/RxNorm.html,استخدام RxNorm مع معايير HL7. https://terminology.hl7.org/RxNorm.html
RxNorm,RxNorm
"https://www.hl7.org/fhir/snomedct-usage.html""""""""""","https://www.hl7.org/fhir/snomedct-usage.html"""""""""""
"""""""""""Using SNOMED CT with HL7 Standards. https://terminology.hl7.org/SNOMEDCT.html","""""""""""استخدام SNOMED CT مع معايير HL7. https://terminology.hl7.org/SNOMEDCT.html"
SNOMED CT,SNOMED CT
5.0.0,5.0.0
"""""""""""Indicates the mechanism used to compare versions to determine which is more current.""""""""""","""""""""""يشير إلى الآلية المستخدمة لمقارنة الإصدارات لتحديد الأحدث."""""""""""
FHIRVersion,إصدار FHIR
The request should be actioned immediately - highest possible priority. E.g. an emergency.,يجب التعامل مع الطلب فورًا - أعلى أولوية ممكنة. مثل حالة طارئة.
STAT,فوري
The request should be actioned as soon as possible - higher priority than urgent.,يجب التعامل مع الطلب بأسرع وقت ممكن - أولوية أعلى من العاجل.
ASAP,في أسرع وقت
The request should be actioned promptly - higher priority than routine.,يجب التعامل مع الطلب بسرعة - أولوية أعلى من الروتيني.
Urgent,عاجل
The request has normal priority.,الطلب ذو أولوية عادية.
Routine,روتيني
"""The request represents a component or option for a RequestOrchestration that establishes timing, conditionality and/or other constraints among a set of requests.""",يمثل الطلب مكوّنًا أو خيارًا لتنظيم الطلبات يحدد التوقيت والشروط و/أو قيودًا أخرى بين مجموعة من الطلبات.
Option,خيار
An order created in fulfillment of a broader order that represents the authorization for a single activity occurrence. E.g. The administration of a single dose of a drug.,أمر يُنشأ تنفيذًا لأمر أوسع ويمثل التفويض لحدوث نشاط واحد. مثال: إعطاء جرعة واحدة من دواء.
Instance Order,أمر مثيل
The request represents the view of an authorization instantiated by a fulfilling system representing the details of the fulfiller's intention to act upon a submitted order.,يمثل الطلب رؤية تفويض تم إنشاؤه بواسطة نظام منفّذ يوضح تفاصيل نية المنفّذ لاتخاذ إجراء بشأن أمر مقدّم.
Filler Order,أمر منفّذ
The request represents an automatically generated supplemental authorization for action based on a parent authorization together with initial results of the action taken against that parent authorization.,يمثل الطلب تفويضًا تكميليًا مُولّدًا تلقائيًا للإجراء استنادًا إلى تفويض أصل، مع النتائج الأولية للإجراء المتخذ وفق ذلك التفويض.
Reflex Order,أمر انعكاسي
The request represents an original authorization for action.,يمثل الطلب تفويضًا أصليًا للإجراء.
Original Order,أمر أصلي
The request represents a legally binding instruction authored by a Patient or RelatedPerson.,يمثل الطلب توجيهًا ملزمًا قانونيًا صادرًا عن المريض أو شخص ذي صلة.
Directive,توجيه
The request represents an intention to ensure something occurs without providing an authorization for others to act.,يمثل الطلب نية لضمان حدوث شيء ما دون منح تفويض للآخرين لاتخاذ إجراء.
The request is a suggestion made by someone/something that does not have an intention to ensure it occurs and without providing an authorization to act.,الطلب عبارة عن اقتراح من شخص/شيء دون نية لضمان حدوثه ودون تفويض بالإجراء.
Proposal,اقتراح
